State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,Location
South Carolina,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17 [Lower rates are better],2016,Medicaid & CHIP,Administrative,1.5,32,3,4.8,1.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(33.8191, -80.9066)"
New Mexico,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,Medicaid & CHIP,Administrative,50.3,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(34.8375, -106.2371)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid only,Administrative,88.4,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,21.5,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.1801, -91.8749)"
Minnesota,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,36.7,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(45.7326, -93.9196)"
Oregon,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,Medicaid & CHIP,Hybrid,84.7,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.5672, -122.1269)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid only,Hybrid,65.4,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4199, -117.1219)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid & CHIP,Administrative,57.4,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.0646, -105.3272)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,CHIP only,Hybrid,,41,68.5,61,73.3,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.106, -97.6475)"
Iowa,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,Medicaid only,Administrative,78.3,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Missouri,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid & CHIP,Hybrid,64.5,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4623, -92.302)"
Wyoming,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visit: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2016,Medicaid only,Administrative,28.6,46,45.1,36.1,56.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.7475, -107.2085)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2016,Medicaid & CHIP,Hybrid,62.8,39,61.2,23.2,69.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.9866, -83.6487)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,CHIP only,Administrative,88.8,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Alaska,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,48,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(61.385, -152.2683)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 19-20,2016,CHIP only,Administrative,,20,31.8,26.3,39.8,# = Rate not reported because denominator is less than 30,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.7673, -89.6812)"
North Carolina,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,38.8,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
Montana,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,CHIP only,Administrative,26.2,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(46.9048, -110.3261)"
Nevada,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid only,Administrative,20.6,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4199, -117.1219)"
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,Medicaid & CHIP,Hybrid,68.5,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.8964, -77.0262)"
Hawaii,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visit: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2016,Medicaid & CHIP,Administrative & Hybrid,46.5,46,45.1,36.1,56.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(21.1098, -157.5311)"
Oklahoma,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,25.2,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.5376, -96.9247)"
New York,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,30.8,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.1497, -74.9384)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Administrative,6.3,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(33.8191, -80.9066)"
Kentucky,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid & CHIP,Administrative,32.8,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(37.669, -84.6514)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,CHIP only,Hybrid,68.6,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.7449, -86.7489)"
Colorado,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2016,Medicaid & CHIP,Administrative,43.2,40,27.3,24.2,34.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.0646, -105.3272)"
New Hampshire,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid only,Administrative,35.7,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(43.4108, -71.5653)"
Wyoming,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1) by their 13th Birthday,2016,CHIP only,Administrative,,43,70.3,56.5,79.4,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.7475, -107.2085)"
Iowa,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births that Weighed Less than 2,500 Grams [Lower rates are better]",2016,CHIP only,NR,,26,8.9,10,8,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2016,Medicaid & CHIP,Administrative,90.5,46,95.2,93.5,96.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(34.9513, -92.3809)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2016,Medicaid only,Hybrid,61.2,39,61.2,23.2,69.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Colorado,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,50.6,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(39.0646, -105.3272)"
Mississippi,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid only,Hybrid,53.7,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.7673, -89.6812)"
Pennsylvania,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee-Months: Ages 0-19 [Lower rates are better]",2016,Medicaid & CHIP,Administrative,51,44,43.3,49.4,39,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.5773, -77.264)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,Medicaid only,Administrative,24.2,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
West Virginia,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1) by their 13th Birthday,2016,Medicaid only,Hybrid,83.6,43,70.3,56.5,79.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Oregon,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,Medicaid & CHIP,Administrative,64.3,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.5672, -122.1269)"
California,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2016,Medicaid & CHIP,Administrative,83.4,46,89.6,85.5,92,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(36.17, -119.7462)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,88,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
Kansas,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee-Months: Ages 0-19 [Lower rates are better]",2016,Medicaid & CHIP,Administrative,49.5,44,43.3,49.4,39,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.5111, -96.8005)"
Utah,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2016,CHIP only,Administrative,19.1,40,27.3,24.2,34.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,Medicaid only,Administrative,97.5,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.799, -86.8073)"
Tennessee,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,Medicaid only,Hybrid,76.3,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.7449, -86.7489)"
Vermont,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,34.1,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.0407, -72.7093)"
Georgia,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,23.7,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.9866, -83.6487)"
New York,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,85.7,42,68,56.5,77.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.1497, -74.9384)"
Maine,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,40,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.6074, -69.3977)"
Maryland,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid & CHIP,Administrative,23.9,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.0724, -76.7902)"
Idaho,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visit: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2016,Medicaid & CHIP,Administrative,29.1,46,45.1,36.1,56.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.2394, -114.5103)"
Arkansas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,Medicaid & CHIP,Administrative,60.3,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(34.9513, -92.3809)"
District of Columbia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,43.2,42,68,56.5,77.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.8964, -77.0262)"
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,56.5,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.2394, -114.5103)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid & CHIP,Administrative,55.2,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(33.8191, -80.9066)"
Hawaii,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,Medicaid & CHIP,Hybrid,69.5,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(21.1098, -157.5311)"
Utah,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,CHIP only,NR,,40,79.4,70.9,84.5,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Florida,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,24.9,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
Kentucky,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,36.3,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(37.669, -84.6514)"
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,88.9,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.799, -86.8073)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2016,CHIP only,NR,,46,60.8,54.2,67.4,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
West Virginia,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,27.9,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2016,Medicaid & CHIP,Hybrid,10.7,26,36,15.7,50.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
Alaska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,46.1,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(61.385, -152.2683)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,CHIP only,Administrative,37.3,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
California,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women: Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2016,Medicaid & CHIP,Administrative,57.9,45,48.8,44.7,56.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(36.17, -119.7462)"
Maine,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,15.5,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.6074, -69.3977)"
Ohio,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women: Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2016,Medicaid & CHIP,Administrative,50.8,45,48.8,44.7,56.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.3736, -82.7755)"
Kansas,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid & CHIP,Administrative,89.5,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.5111, -96.8005)"
Missouri,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women: Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2016,Medicaid only,NR,,45,48.8,44.7,56.5,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4623, -92.302)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,84.4,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.9866, -83.6487)"
