State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
Kansas,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,Medicaid & CHIP,Hybrid,21,27,65.8,43.1,72.8,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.5111, -96.8005)"
Washington,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,91.2,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)"
Missouri,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,65.5,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)"
West Virginia,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,CHIP only,NR,,27,65.8,43.1,72.8,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Alabama,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,CHIP only,Administrative,94.4,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
District of Columbia,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2014,Medicaid & CHIP,Hybrid,40.1,27,65.8,43.1,72.8,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)"
District of Columbia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,92.4,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)"
District of Columbia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid & CHIP,Administrative,15.2,16,33.2,25.2,41.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.8964, -77.0262)"
New Hampshire,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,21.8,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(43.4108, -71.5653)"
Nebraska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,52.1,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(41.1289, -98.2883)"
Arizona,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,45.7,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(33.7712, -111.3877)"
New Hampshire,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,50.4,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(43.4108, -71.5653)"
Arizona,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,22.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(33.7712, -111.3877)"
Virginia,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,49.3,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(37.768, -78.2057)"
Maine,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,41.4,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Iowa,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2014,Medicaid only,Administrative,67.9,34,43.9,32,62.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
New Mexico,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid & CHIP,Administrative,97.8,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2014,Medicaid only,Administrative,,16,33.2,25.2,41.2,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Maine,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,91,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Texas,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,CHIP only,Administrative,91,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
West Virginia,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,CHIP only,Administrative,100,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
California,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,21,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(36.17, -119.7462)"
Mississippi,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid only,Administrative,54.9,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Idaho,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,31.3,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
Connecticut,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,56,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.5834, -72.7622)"
Mississippi,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,CHIP only,Administrative,92,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2014,Medicaid & CHIP,Administrative,,25,28.2,23.3,37.9,# = Rate not reported because denominator is less than 30.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
Florida,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,Medicaid & CHIP,Administrative & Hybrid,67.9,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(27.8333, -81.717)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid only,Administrative,29.9,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Massachusetts,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,93.1,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)"
Wyoming,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,24.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(42.7475, -107.2085)"
New York,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,Medicaid & CHIP,Hybrid,71,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)"
Michigan,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid only,Administrative,90.5,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(43.3504, -84.5603)"
Georgia,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,Medicaid & CHIP,Administrative,35.2,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.9866, -83.6487)"
West Virginia,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,Medicaid only,Hybrid,67.2,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Tennessee,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid only,Hybrid,80.7,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
New Mexico,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,45.6,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
Pennsylvania,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,21.3,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(40.5773, -77.264)"
Rhode Island,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid & CHIP,Administrative,32.2,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
Colorado,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,50.9,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(39.0646, -105.3272)"
Delaware,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,55.1,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)"
Florida,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,9.7,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(27.8333, -81.717)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,Medicaid only,Administrative,51.5,37,48.3,43.5,56.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Iowa,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid only,Administrative,98.2,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Iowa,Primary Care and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2014,CHIP only,NR,,37,48.3,43.5,56.4,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Florida,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid & CHIP,Administrative,93.9,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(27.8333, -81.717)"
Kentucky,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,92.2,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Mississippi,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,CHIP only,Administrative,94.5,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.7673, -89.6812)"
Minnesota,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,89,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(45.7326, -93.9196)"
Maine,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,Medicaid & CHIP,Administrative,96.7,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.6074, -69.3977)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2014,CHIP only,Administrative,98,41,96.4,94.3,97.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Michigan,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid only,Administrative,91.7,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(43.3504, -84.5603)"
West Virginia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid only,Administrative,92.5,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Iowa,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid only,Administrative,7,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Minnesota,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,91.2,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(45.7326, -93.9196)"
Nevada,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,CHIP only,Administrative,87.8,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4199, -117.1219)"
Utah,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,CHIP only,Administrative,43.1,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.1135, -111.8535)"
Missouri,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,Medicaid & CHIP,Hybrid,46.7,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.4623, -92.302)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,CHIP only,Administrative,25.4,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Alaska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,45.6,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(61.385, -152.2683)"
Georgia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,86.7,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.9866, -83.6487)"
Pennsylvania,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Hybrid,63.4,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
Texas,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,58.2,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Alabama,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,Medicaid only,Administrative,18.8,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.799, -86.8073)"
Montana,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,CHIP only,Administrative,74.9,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(46.9048, -110.3261)"
Massachusetts,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,52.9,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(42.2373, -71.5314)"
Michigan,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,40.3,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(43.3504, -84.5603)"
Tennessee,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid only,Hybrid,70.8,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
West Virginia,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2014,Medicaid only,Administrative,45.4,51,47.6,42.5,50.6,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(38.468, -80.9696)"
Idaho,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,24.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(44.2394, -114.5103)"
California,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Hybrid,71.2,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)"
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,Medicaid only,Administrative,45.6,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Kentucky,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,21.5,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(37.669, -84.6514)"
Rhode Island,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,97.2,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
West Virginia,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid only,Administrative,59.8,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid only,Administrative,59.4,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Idaho,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,Medicaid & CHIP,Administrative,46.7,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.2394, -114.5103)"
Montana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,CHIP only,Administrative,20.2,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(46.9048, -110.3261)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,CHIP only,Administrative,25.4,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Florida,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,50,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(27.8333, -81.717)"
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2014,CHIP only,Administrative,78.7,25,28.2,23.3,37.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Louisiana,Primary Care and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2014,Medicaid & CHIP,Administrative,88.2,35,67.1,52.6,79.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)"
Minnesota,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,17.8,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(45.7326, -93.9196)"
