State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Location
Massachusetts,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,71.1,46,49.4,44.1,58.5,,"Rate includes PCCM and managed care populations (5 MCOs), representing 76 percent of the population. Rate excludes FFS population, representing 24 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,90.5,48,87.4,84.9,90.3,,"Rates include managed care population (5 MCOs), representing 95 percent of the population. Rates exclude FFS population, representing 5 percent of the population. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid & CHIP,Hybrid,77.0,37,61.1,28.8,74.5,,"Rate includes managed care population (4 MCOs), representing 91 percent of the population. Rate excludes FFS population, representing 9 percent of the population. Denominator is the sample size; measure-eligible population is 24,664. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Hybrid,88.9,49,59.3,55.7,66.1,,"Rate includes FFS population. Denominator is the sample size; measure-eligible population is 11,509. Rate was audited by a certified HEDIS auditor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Connecticut
(41.575155, -72.738288)"
Illinois,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid & CHIP,Administrative,14.1,37,61.1,28.8,74.5,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,CHIP only,Administrative,13.6,37,61.1,28.8,74.5,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Mississippi,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,Medicaid only,Administrative,0.7,37,2.7,3.6,1.6,,"Rate includes managed care population (1 MCO), representing 42 percent of the population. Rate excludes enrollees in one MCO and FFS population, representing 58 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
North Carolina,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,51.0,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
North Carolina,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,CHIP only,Administrative,27.5,47,42.3,51.1,39.1,,Rate includes FFS and PCCM populations ages 6 to 18.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid only,Administrative,9.8,37,61.1,28.8,74.5,,Medicaid rate includes FFS and managed care populations (3 MCOs). State applied optional exclusions.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Arizona,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid only,Administrative,85.4,48,87.4,84.9,90.3,,"Rates include managed care population (9 MCOs), representing 92 percent of the population. Rates exclude FFS population, representing 8 percent of the population. Rates include services provided by Regional Health Centers. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid & CHIP,Administrative,4.8,47,42.3,51.1,39.1,,Rate includes FFS and PCCM populations. State attributes higher performance on this measure to its implementation of a Patient Centered Medical Home model in 2016 and use of value-based payments.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Idaho
(44.389073, -114.659366)"
Missouri,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,60.4,45,69.2,62.5,79.6,,"Rates include managed care population (3 MCOs) age 6 and older, representing 63 percent of the Medicaid population and 40 percent of the CHIP population. Rates exclude FFS population, representing 37 percent of the Medicaid population and 60 percent of the CHIP population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Michigan,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2017,Medicaid only,Hybrid,72.8,41,67.9,54.6,72.8,,"Rate includes managed care population (11 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. Denominator is the sample size; measure-eligible population is 22,552. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
Maine,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid & CHIP,Administrative,38.3,39,27.3,24.3,33,,Rates include FFS population.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maine
(45.117911, -69.06137)"
New Mexico,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid only,Hybrid,21.3,42,20.8,13.3,24.8,,"Rates include managed care population (4 MCOs). Denominator is the sample size; measure-eligible population is 14,000. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid only,Administrative,91.2,48,90.8,87.6,93.6,,Medicaid rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Louisiana,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,20.7,30,22.9,18,24.9,,Rate includes FFS and managed care populations (5 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Kentucky,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Hybrid,69.4,50,66.7,58.2,76.1,,"Rate includes managed care population (5 MCOs), representing 95 percent of the population. Rate excludes FFS population, representing 5 percent of the population. Denominator is the sample size; measure-eligible population is 97,562. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,CHIP only,Hybrid,70.7,49,59.3,55.7,66.1,,"CHIP rate includes managed care population (2 MCOs), representing 87 percent of the population. Rate excludes FFS population, representing 13 percent of the population. Denominator is the sample size, which is equivalent to the measure-eligible population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Montana,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,53.2,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Montana
(47.033521, -109.645127)"
Massachusetts,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid & CHIP,Administrative,43.7,47,42.3,51.1,39.1,,"Rate includes managed care population (5 MCOs), representing 46 percent of the population. Rate excludes FFS and PCCM populations, representing 54 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
Nebraska,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid & CHIP,Administrative,10.3,42,20.8,13.3,24.8,,Rates include FFS and managed care populations (3 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nebraska
(41.527099, -99.810595)"
Kansas,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,89.4,48,90.1,86.2,92.9,,Rates include managed care population (3 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kansas
(38.484729, -98.38018)"
North Carolina,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid only,Administrative,NR,47,42.3,51.1,39.1,NR = State did not report the measure for this population,Medicaid rate includes FFS and PCCM populations. State is not able to report a total rate for ages 0 to 19.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Idaho,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,65.5,48,90.1,86.2,92.9,,Rates include FFS and PCCM populations. State implemented a Patient Centered Medical Home model in 2016.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Idaho
(44.389073, -114.659366)"
Georgia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2017,Medicaid & CHIP,Administrative,25.6,40,26.9,24.1,32.2,,Rates include FFS and managed care populations (4 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Georgia
(32.638481, -83.426574)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid only,Administrative,58.5,46,49.4,44.1,58.5,,Medicaid rate includes FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Delaware,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Hybrid,60.5,49,59.3,55.7,66.1,,"Rate includes managed care population (2 MCOs), representing 94 percent of the population. Rate excludes FFS population, representing 6 percent of the population. Denominator is the sample size; measure-eligible population is 3,756.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Maine,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,65.0,44,47.8,39.7,64,,Rates include FFS population.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maine
(45.117911, -69.06137)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid only,Administrative,84.5,48,90.1,86.2,92.9,,"Medicaid rates include managed care population (2 MCOs), representing 77 percent of the population. Rates exclude FFS population, representing 23 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Mississippi,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,CHIP only,Administrative,69.2,45,69.2,62.5,79.6,,Rates include managed care population (2 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Nebraska,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid & CHIP,Administrative,41.5,47,42.3,51.1,39.1,,Rate includes FFS and managed care populations (3 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nebraska
(41.527099, -99.810595)"
North Carolina,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,CHIP only,Administrative,36.3,40,27.9,24.5,33,,CHIP rates include FFS and PCCM populations. Ages 5-11 Rate includes children ages 6 to 11 and Total rate includes children ages 6 to 18.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Hawaii,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,86.9,48,87.4,84.9,90.3,,Rates include managed care population (5 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Hawaii
(21.361013, -157.854309)"
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid only,Administrative,31.6,46,49.4,44.1,58.5,,"Medicaid rate includes managed care population (2 MCOs), representing 85 percent of the population. Rate excludes FFS population, representing 15 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Colorado,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid & CHIP,Administrative,27.5,39,27.3,24.3,33,,"Rates include FFS, PCCM and managed care populations (8 MCOs). Total rate includes children ages 5 to 18. MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Minnesota,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid & CHIP,Administrative,73.5,43,73.2,56.9,83,,Rates include FFS and managed care populations (8 MCOs). Rates include paid claims only. Rates were audited by a certified HEDIS auditor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
Nevada,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,CHIP only,Administrative,28.0,40,27.9,24.5,33,,"CHIP rates include managed care population (2 MCOs), representing 87 percent of the population. Rates exclude FFS population, representing 13 percent of the population. State attributes rate changes from FFY 2016 to an increase in MCO case management that addresses gaps with individual care and beneficiary education.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2017,Medicaid only,Administrative,16.5,40,26.9,24.1,32.2,,Medicaid rates include FFS and managed care populations (3 MCOs). State attributes lower performance on this measure to data quality issues with pharmacy claims.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,Medicaid & CHIP,Administrative,99.0,48,95.2,93.3,96.6,,Rates include FFS population. Rates were audited by a certified HEDIS auditor,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Connecticut
(41.575155, -72.738288)"
Indiana,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,44.2,46,49.4,44.1,58.5,,"Rate includes managed care population (3 MCOs), representing 87 percent of Medicaid children and 97 percent of CHIP children. Rate excludes FFS population, representing 10 percent of Medicaid children and 3 percent of CHIP children, and enrollees in a program for beneficiaries with disabilities who do not require a level of care in a nursing home or through a Section 1915(c) home- and community-based services waiver, representing 3 percent of Medicaid children. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,CHIP only,Administrative,92.1,48,90.1,86.2,92.9,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Illinois,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,90.0,48,90.1,86.2,92.9,,"Rates include FFS, PCCM, and managed care populations (13 MCOs). Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid & CHIP,Administrative,20.6,42,20.8,13.3,24.8,,"Rates include FFS, PCCM, and managed care populations (8 MCOs). MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Minnesota,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Administrative,35.6,49,44.7,37.9,55.7,,Rate includes FFS and managed care populations (8 MCOs). Rate includes paid claims only. Rate was audited by a certified HEDIS auditor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
California,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,81.7,48,87.4,84.9,90.3,,Rates include FFS and managed care populations (26 MCOs). Rates were audited using decision support software.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
North Carolina,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,CHIP only,Administrative,1.0,37,2.7,3.6,1.6,,CHIP rate includes FFS and PCCM populations ages 6 to 17.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Minnesota,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid & CHIP,Administrative,90.2,48,90.8,87.6,93.6,,Rates include FFS and managed care populations (8 MCOs). Rates include paid claims only. Rates were audited by a certified HEDIS auditor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
North Carolina,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,CHIP only,Administrative,37.5,44,47.8,39.7,64,,CHIP rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,CHIP only,Administrative,46.7,49,44.7,37.9,55.7,,Medicaid rate includes FFS and managed care populations (3 MCOs). State did not use provider specialty to identify visits because that field was not reliable in state data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,Medicaid & CHIP,Administrative,53.5,47,42.3,51.1,39.1,,Rate includes FFS and managed care populations (5 MCOs). Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
New York,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,73.0,46,49.4,44.1,58.5,,"Rate includes managed care population (19 MCOs), representing 89 percent of the Medicaid population and all CHIP children. Rate excludes FFS population, representing 11 percent of the Medicaid population. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Arkansas,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,Medicaid & CHIP,Administrative,0.9,37,2.7,3.6,1.6,,Rate includes FFS and PCCM populations. Rate was audited by state data contractor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
