State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
LA,Louisiana,07/01/2020,Y,P,Y,22908,,N/A,,22908,,24673,,1409,,26082,,730730,,1607959,,37.669,-84.6514,"(37.669, -84.6514)",1474310,,133649,
NY,New York,06/01/2019,Y,U,Y,,,883747,,883747,,118012,,7963,,125975,,2424546,,6083528,,34.8375,-106.2371,"(34.8375, -106.2371)",5495324,,588204,
NM,New Mexico,06/01/2020,Y,U,Y,10769,,N/A,,10769,,11405,,1350,,12755,,337088,Includes Limited-Benefit Enrollees,772102,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",734272,Includes Limited-Benefit Enrollees,37830,
ND,North Dakota,08/01/2018,Y,P,N,2451,,N/A,,2451,,2071,,55,,2126,,44635,,95077,,46.9048,-110.3261,"(46.9048, -110.3261)",92996,,2081,
PA,Pennsylvania,01/01/2020,Y,P,N,109427,Includes Renewals and/or Redeterminations,N/A,,109427,Includes Renewals and/or Redeterminations,73873,Includes Renewals and/or Redeterminations,11544,,85417,Includes Renewals and/or Redeterminations,1377607,,2912880,,35.5376,-96.9247,"(35.5376, -96.9247)",2726787,,186093,
ME,Maine,10/01/2017,Y,U,Y,1365,,N/A,,1365,,10912,,456,,11368,,111999,,233303,,39.0724,-76.7902,"(39.0724, -76.7902)",223687,,9616,
MT,Montana,03/01/2020,Y,U,Y,4749,,N/A,,4749,,4467,,590,,5057,,113481,,250033,,14.8058,145.5505,"(14.8058, 145.5505)",224403,,25630,
PA,Pennsylvania,10/01/2019,Y,P,N,85391,Includes Renewals and/or Redeterminations,N/A,,85391,Includes Renewals and/or Redeterminations,81095,Includes Renewals and/or Redeterminations,11956,,93051,Includes Renewals and/or Redeterminations,1383802,,2923102,,35.5376,-96.9247,"(35.5376, -96.9247)",2738190,,184912,
CT,Connecticut,10/01/2017,Y,P,Y,3931,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Duplicates,9199,Does Not Include All Medicaid Applications Received By the SBM; Includes Duplicates; Includes Renewals and/or Redeterminations,13130,Does Not Include All Medicaid Applications; Includes Duplicates,18626,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,244,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,18870,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,334518,Does Not Include All Full-Benefit Child Medicaid enrollees ; Does Not Include All CHIP enrollees,835724,Does Not Include All Full-Benefit Medicaid enrollees; Does Not Include All CHIP enrollees,39.0646,-105.3272,"(39.0646, -105.3272)",817984,Does Not Include All Full-Benefit Medicaid enrollees,17740,Does Not Include All CHIP enrollees
MO,Missouri,09/01/2019,N,U,Y,21447,Includes  Renewals and/or Redeterminations,N/A,,21447,Includes  Renewals and/or Redeterminations,10274,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",417,Includes Renewals and/or Redeterminations,10691,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",537809,,857228,,45.7326,-93.9196,"(45.7326, -93.9196)",821824,,35404,
NE,Nebraska,04/01/2018,N,U,Y,6092,,N/A,,6092,,7035,,884,,7919,,166350,,250249,,35.6411,-79.8431,"(35.6411, -79.8431)",216360,,33889,
AK,Alaska,12/01/2018,Y,P,N,3012,Includes Renewals and/or Redeterminations,N/A,,3012,Includes Renewals and/or Redeterminations,2798,Includes Renewals and/or Redeterminations; Includes CHIP,130,,2928,Includes Renewals and/or Redeterminations,95187,,213702,,61.385,-152.2683,"(61.385, -152.2683)",198867,,14835,
MT,Montana,08/01/2017,Y,P,N,3981,,N/A,,3981,,4110,,223,,4333,,125887,,260992,,14.8058,145.5505,"(14.8058, 145.5505)",237571,,23421,
MD,Maryland,07/01/2020,Y,P,Y,4083,,71753,Includes Renewals and/or Redeterminations,75836,Includes Renewals and/or Redeterminations,33135,Includes Renewals and/or Redeterminations,1788,Includes Renewals and/or Redeterminations,34923,Includes Renewals and/or Redeterminations,639656,,1387773,,42.2373,-71.5314,"(42.2373, -71.5314)",1245001,,142772,
KY,Kentucky,11/01/2018,Y,U,Y,8976,,,,8976,,17001,,1864,,18865,,555741,,1320770,,38.5111,-96.8005,"(38.5111, -96.8005)",1230431,,90339,
MN,Minnesota,09/01/2018,Y,U,Y,5207,,17272,,22479,,16949,,37,,16986,,540055,,1079754,,43.3504,-84.5603,"(43.3504, -84.5603)",1078453,,1301,
NY,New York,02/01/2020,Y,P,N,,,962212,Includes Renewals and/or Redeterminations,962212,Includes Renewals and/or Redeterminations,105801,Includes Renewals and/or Redeterminations,8299,Includes Renewals and/or Redeterminations,114100,Includes Renewals and/or Redeterminations,2381932,Includes Retroactive Enrollments,5966911,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5356631,Includes Retroactive Enrollments,610280,
NV,Nevada,08/01/2017,Y,P,Y,22018,Includes Renewals and/or Redeterminations,N/A,,22018,Includes Renewals and/or Redeterminations,13766,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",71,,13837,,304207,,636806,,40.314,-74.5089,"(40.314, -74.5089)",597226,,39580,
KS,Kansas,07/01/2020,N,P,Y,,,N/A,,,,,,,,,,283083,,406698,,39.8647,-86.2604,"(39.8647, -86.2604)",342993,,63705,
MI,Michigan,07/01/2018,Y,U,Y,51260,,N/A,,51260,,46497,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1312,,47809,,951807,Does Not Include All Full-Benefit Child Medicaid enrollees,2355527,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2298825,Does Not Include All Full-Benefit Medicaid enrollees,56702,
MD,Maryland,01/01/2019,Y,P,N,7860,,100608,Includes Renewals and/or Redeterminations,108468,Includes Renewals and/or Redeterminations,30452,Includes Renewals and/or Redeterminations,4225,Includes Renewals and/or Redeterminations,34677,Includes Renewals and/or Redeterminations,611752,,1298973,,42.2373,-71.5314,"(42.2373, -71.5314)",1142611,,156362,
WV,West Virginia,01/01/2018,Y,U,Y,26517,,N/A,,26517,,14914,,733,,15647,,223554,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),538826,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",506132,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32694,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
AK,Alaska,06/01/2018,Y,P,N,3239,Includes Renewals and/or Redeterminations,N/A,,3239,Includes Renewals and/or Redeterminations,2245,Includes Renewals and/or Redeterminations; Includes CHIP,,,2245,Includes Renewals and/or Redeterminations,93416,,206727,,61.385,-152.2683,"(61.385, -152.2683)",193286,,13441,
KY,Kentucky,06/01/2018,Y,P,N,,,9964,,9964,,,,,,,,559896,,1343781,,38.5111,-96.8005,"(38.5111, -96.8005)",1258756,,85025,
KY,Kentucky,04/01/2020,Y,P,N,46734,,,,46734,,17885,,1229,,19114,,558866,,1344593,,38.5111,-96.8005,"(38.5111, -96.8005)",1254790,,89803,
WY,Wyoming,10/01/2018,N,P,N,1407,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1407,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,860,,77,,937,,38673,,57891,,44.0407,-72.7093,"(44.0407, -72.7093)",53399,,4492,
RI,Rhode Island,10/01/2018,Y,U,Y,2252,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2252,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2765,,351,,3116,,123462,,311844,,44.5672,-122.1269,"(44.5672, -122.1269)",279644,,32200,
MS,Mississippi,01/01/2020,N,U,Y,20547,,N/A,,20547,,13346,,952,,14298,,418537,,616266,,38.4623,-92.302,"(38.4623, -92.302)",538966,,77300,
FL,Florida,11/01/2017,N,P,N,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,137235,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23557,,160792,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2548960,,3810911,,39.3498,-75.5148,"(39.3498, -75.5148)",3610069,,200842,
SC,South Carolina,04/01/2019,N,U,Y,23789,,N/A,,23789,,6657,Does Not Include All Medicaid Determinations Made At Application,195,Does Not Include All Medicaid Determinations Made At Application,6852,Does Not Include All Medicaid Determinations Made At Application,661224,,1054717,,40.5773,-77.264,"(40.5773, -77.264)",963525,,91192,
AZ,Arizona,01/01/2019,Y,U,Y,112351,,N/A,,112351,,,,,,,,,,1701450,,14.2417,-170.7197,"(14.2417, -170.7197)",1597610,,103840,
OK,Oklahoma,03/01/2019,N,U,Y,42114,Includes Renewals and/or Redeterminations,N/A,,42114,Includes Renewals and/or Redeterminations,38379,Includes Renewals and/or Redeterminations,7912,,46291,Includes Renewals and/or Redeterminations,507790,,724011,,42.1497,-74.9384,"(42.1497, -74.9384)",603925,,120086,
CO,Colorado,10/01/2018,Y,U,Y,23650,,519,,24169,,21765,,386,,22151,,594107,,1346767,,36.17,-119.7462,"(36.17, -119.7462)",1266344,,80423,
MI,Michigan,10/01/2018,Y,P,N,54655,,N/A,,54655,,46476,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1575,,48051,,941370,Does Not Include All Full-Benefit Child Medicaid enrollees,2322414,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2264883,Does Not Include All Full-Benefit Medicaid enrollees,57531,
UT,Utah,05/01/2019,N,P,N,18482,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,18482,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39487,Includes CHIP,,,39487,,191036,,307184,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",265790,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41394,
AK,Alaska,07/01/2019,Y,U,Y,3147,Includes Renewals and/or Redeterminations,N/A,,3147,Includes Renewals and/or Redeterminations,2693,Includes Renewals and/or Redeterminations; Includes CHIP,157,,2850,Includes Renewals and/or Redeterminations,97913,,223117,,61.385,-152.2683,"(61.385, -152.2683)",207174,,15943,
IL,Illinois,03/01/2019,Y,P,N,66749,,N/A,,66749,,26602,,9161,,35763,,1331581,,2784943,,44.2394,-114.5103,"(44.2394, -114.5103)",2527976,,256967,
MA,Massachusetts,02/01/2019,Y,U,Y,16552,,1980,,18532,,,,,,,,667528,,1561612,,31.1801,-91.8749,"(31.1801, -91.8749)",1375444,,186168,
GA,Georgia,12/01/2017,N,U,Y,43295,,N/A,,43295,,31112,,1235,,32347,,1266151,,1812561,,27.8333,-81.717,"(27.8333, -81.717)",1620540,,192021,
UT,Utah,07/01/2017,N,P,N,20057,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20057,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",52012,Includes CHIP,,,52012,,213738,,304670,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",257372,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47298,
WA,Washington,12/01/2017,Y,P,N,16451,,139956,,156407,,51793,,2430,,54223,,840826,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1775327,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1715136,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),60191,
UT,Utah,12/01/2019,N,U,Y,17416,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17416,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39188,Includes CHIP,,,39188,,185160,,309812,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",268236,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41576,
KY,Kentucky,10/01/2019,Y,U,Y,9511,,,,9511,,,,1239,,1239,,548982,,1298786,,38.5111,-96.8005,"(38.5111, -96.8005)",1207392,,91394,
UT,Utah,03/01/2018,N,U,Y,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",55569,Includes CHIP,,,55569,,208186,,301447,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",255586,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45861,
AK,Alaska,12/01/2017,Y,U,Y,3446,Includes Renewals and/or Redeterminations,N/A,,3446,Includes Renewals and/or Redeterminations,3825,Includes Renewals and/or Redeterminations; Includes CHIP,,,3825,Includes Renewals and/or Redeterminations,91360,,200369,,61.385,-152.2683,"(61.385, -152.2683)",187450,,12919,
MN,Minnesota,12/01/2018,Y,U,Y,5366,,38298,,43664,,21715,,35,,21750,,536246,,1069346,,43.3504,-84.5603,"(43.3504, -84.5603)",1068121,,1225,
OH,Ohio,12/01/2019,Y,P,N,65952,Includes Renewals and/or Redeterminations,N/A,,65952,Includes Renewals and/or Redeterminations,50724,Includes CHIP; Includes Renewals and/or Redeterminations,2976,,53700,Includes Renewals and/or Redeterminations,1158803,,2609614,,38.4199,-117.1219,"(38.4199, -117.1219)",2411873,,197741,
NJ,New Jersey,12/01/2019,Y,U,Y,39094,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,39094,Does Not Include All Non-MAGI Applications,17383,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,5284,,22667,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,812183,,1706298,,41.1289,-98.2883,"(41.1289, -98.2883)",1476344,,229954,
SC,South Carolina,08/01/2017,N,P,N,22883,,N/A,,22883,,9708,Does Not Include All Medicaid Determinations Made At Application,171,Does Not Include All CHIP Determinations Made At Application,9879,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,635378,,1008737,,40.5773,-77.264,"(40.5773, -77.264)",930239,,78498,
TX,Texas,04/01/2020,N,U,Y,149818,,N/A,,149818,,90192,,9796,,99988,,3382891,,4309314,,33.8191,-80.9066,"(33.8191, -80.9066)",3728028,,581286,
SD,South Dakota,09/01/2019,N,U,Y,2675,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2675,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1570,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1570,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78066,,109764,,18.2766,-66.335,"(18.2766, -66.335)",94162,,15602,
DE,Delaware,06/01/2017,Y,P,N,,,N/A,,,,,,,,,,105633,,227659,,38.8964,-77.0262,"(38.8964, -77.0262)",216302,,11357,
VT,Vermont,05/01/2020,Y,U,Y,1068,,1069,,2137,Includes Renewals and/or Redeterminations,2570,Includes Renewals and/or Redeterminations,50,,2620,,61953,,159344,,31.106,-97.6475,"(31.106, -97.6475)",155092,,4252,
MO,Missouri,04/01/2019,N,P,N,21607,,N/A,,21607,,11436,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",471,Includes Renewals and/or Redeterminations,11907,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",544781,,863688,,45.7326,-93.9196,"(45.7326, -93.9196)",831369,,32319,
MA,Massachusetts,01/01/2020,Y,P,N,19108,,3040,,22148,,13408,,1034,,14442,,655678,,1531029,,31.1801,-91.8749,"(31.1801, -91.8749)",1351007,,180022,
WV,West Virginia,01/01/2020,Y,P,N,22636,,N/A,,22636,,14564,,891,,15455,,212484,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),506562,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",472309,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),34253,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
OR,Oregon,06/01/2019,Y,P,N,11160,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11160,Does Not Include All Non-MAGI Applications,19480,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2023,,21503,Does Not Include All Non-MAGI Determinations Made At Application,414215,,980671,,40.3736,-82.7755,"(40.3736, -82.7755)",852567,,128104,
PA,Pennsylvania,07/01/2019,Y,U,Y,99081,Includes Renewals and/or Redeterminations,N/A,,99081,Includes Renewals and/or Redeterminations,90484,Includes Renewals and/or Redeterminations,10455,,100939,Includes Renewals and/or Redeterminations,1396947,,2962254,,35.5376,-96.9247,"(35.5376, -96.9247)",2777921,,184333,
NC,North Carolina,10/01/2017,N,U,Y,21984,,N/A,,21984,,36886,,3689,,40575,,1190045,,1782616,,32.7673,-89.6812,"(32.7673, -89.6812)",1551723,,230893,
NC,North Carolina,01/01/2020,N,U,Y,29422,,N/A,,29422,,32901,,3688,,36589,,1187876,,1767109,,32.7673,-89.6812,"(32.7673, -89.6812)",1487202,,279907,
UT,Utah,06/01/2020,N,U,Y,17814,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,17814,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",39500,Includes CHIP,,,39500,,196526,,341920,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",300902,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41018,
AR,Arkansas,03/01/2019,Y,P,N,20209,,N/A,,20209,,7885,,328,,8213,,367502,,783207,,34.9513,-92.3809,"(34.9513, -92.3809)",751488,,31719,
OR,Oregon,11/01/2017,Y,U,Y,19138,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,19138,Does Not Include All Non-MAGI Applications,33136,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2640,,35776,Does Not Include All Non-MAGI Determinations Made At Application,419727,,974672,,40.3736,-82.7755,"(40.3736, -82.7755)",850758,,123914,
MO,Missouri,12/01/2017,N,P,N,18741,,N/A,,18741,,9774,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,9774,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",620110,,957642,,45.7326,-93.9196,"(45.7326, -93.9196)",928136,,29506,
TX,Texas,08/01/2017,N,U,Y,139264,,N/A,,139264,,100130,,16031,,116161,,3513218,,4444789,,33.8191,-80.9066,"(33.8191, -80.9066)",3864515,,580274,
MI,Michigan,02/01/2020,Y,P,N,50955,,N/A,,50955,,45040,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1832,,46872,,931546,Does Not Include All Full-Benefit Child Medicaid enrollees,2300008,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2234180,Does Not Include All Full-Benefit Medicaid enrollees,65828,
TN,Tennessee,03/01/2020,N,P,N,35592,,N/A,,35592,,17350,,2134,,19484,,809378,,1427119,,41.6772,-71.5101,"(41.6772, -71.5101)",1305819,,121300,
OK,Oklahoma,10/01/2019,N,P,N,47985,Includes Renewals and/or Redeterminations,N/A,,47985,Includes Renewals and/or Redeterminations,45621,Includes Renewals and/or Redeterminations,8090,,53711,Includes Renewals and/or Redeterminations,512444,,729961,,42.1497,-74.9384,"(42.1497, -74.9384)",608239,,121722,
GA,Georgia,10/01/2017,N,P,N,54894,,N/A,,54894,,36210,,1197,,37407,,1239158,,1768663,,27.8333,-81.717,"(27.8333, -81.717)",1585484,,183179,
NJ,New Jersey,06/01/2020,Y,P,N,34023,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,34023,Does Not Include All Non-MAGI Applications,20006,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,3546,,23552,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,832680,,1759653,,41.1289,-98.2883,"(41.1289, -98.2883)",1520316,,239337,
GA,Georgia,07/01/2020,N,P,Y,39227,,N/A,,39227,,16817,,2086,,18903,,1360468,,1951725,,27.8333,-81.717,"(27.8333, -81.717)",1729931,,221794,
SD,South Dakota,06/01/2020,N,P,N,2130,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2130,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,959,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",959,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",80850,,114059,,18.2766,-66.335,"(18.2766, -66.335)",98440,,15619,
WY,Wyoming,10/01/2018,N,U,Y,1575,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1575,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,860,,77,,937,,39614,,59267,,44.0407,-72.7093,"(44.0407, -72.7093)",54670,,4597,
VA,Virginia,02/01/2020,Y,P,N,27640,Includes Renewals and/or Redeterminations,N/A,,27640,Includes Renewals and/or Redeterminations,30920,Includes Renewals and/or Redeterminations,1157,Includes Renewals and/or Redeterminations,32077,Includes Renewals and/or Redeterminations,748606,,1410233,,35.7449,-86.7489,"(35.7449, -86.7489)",1255472,,154761,
NJ,New Jersey,07/01/2017,Y,P,N,29836,,N/A,,29836,,10479,Does Not Include All Medicaid Determinations Made At Application,3084,Does Not Include All CHIP Determinations Made At Application,13563,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,831234,,1749353,,41.1289,-98.2883,"(41.1289, -98.2883)",1547987,,201366,
OR,Oregon,04/01/2020,Y,P,N,11903,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11903,Does Not Include All Non-MAGI Applications,30904,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2602,,33506,Does Not Include All Non-MAGI Determinations Made At Application,420389,,1023689,,40.3736,-82.7755,"(40.3736, -82.7755)",894474,,129215,
CO,Colorado,08/01/2017,Y,P,Y,21298,,1754,,23052,,19010,,320,,19330,,624446,,1426184,,36.17,-119.7462,"(36.17, -119.7462)",1352692,,73492,
WA,Washington,02/01/2020,Y,U,Y,62909,,65048,,127957,,87813,,1553,,89366,,819426,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1711577,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1640189,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),71388,
DC,District of Columbia,11/01/2017,Y,P,N,1190,Includes SBM data,2250,,3440,Includes Renewals and/or Redeterminations,3440,Includes Renewals and/or Redeterminations; Includes CHIP,,,3440,,,,258858,,41.5834,-72.7622,"(41.5834, -72.7622)",245492,,13366,
MS,Mississippi,05/01/2019,N,U,Y,19070,,N/A,,19070,,12448,,561,,13009,,420943,,620955,,38.4623,-92.302,"(38.4623, -92.302)",544239,,76716,
WI,Wisconsin,04/01/2020,N,P,N,26932,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,26932,Does Not Include All Applications for Limited-Benefit Programs,30259,"Count is of Households, Not Individuals",1761,,32020,,511820,,1072102,,37.768,-78.2057,"(37.768, -78.2057)",1002616,,69486,
TN,Tennessee,11/01/2017,N,U,Y,504,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,504,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,439,,439,Does Not Include All Medicaid Determinations Made At Application,,,1543255,,41.6772,-71.5101,"(41.6772, -71.5101)",1462715,,80540,
AL,Alabama,10/01/2018,N,U,Y,22130,,N/A,,22130,,16776,,2307,,19083,,653557,,916053,,32.799,-86.8073,"(32.799, -86.8073)",743052,,173001,
OR,Oregon,04/01/2018,Y,U,Y,12199,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12199,Does Not Include All Non-MAGI Applications,22554,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1872,,24426,Does Not Include All Non-MAGI Determinations Made At Application,419171,,975183,,40.3736,-82.7755,"(40.3736, -82.7755)",849378,,125805,
MT,Montana,09/01/2017,Y,U,Y,3599,,N/A,,3599,,3638,,222,,3860,,126963,,264735,,14.8058,145.5505,"(14.8058, 145.5505)",237391,,27344,
NY,New York,11/01/2018,Y,P,N,,,1061843,,1061843,,115743,,8339,,124082,,2455641,Includes Retroactive Enrollments,6126492,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5560981,Includes Retroactive Enrollments,565511,
DE,Delaware,04/01/2020,Y,P,N,4388,,N/A,,4388,,5066,,678,,5744,,105862,,232750,,38.8964,-77.0262,"(38.8964, -77.0262)",221016,,11734,
